字节\数据位,7,6,5,4,3,2,1,0
0,命令相关内容,命令相关内容,命令,命令,命令,命令,命令,命令
1,命令相关内容,命令相关内容,命令相关内容,命令相关内容,命令相关内容,命令相关内容,命令相关内容,命令相关内容
2,命令相关内容,命令相关内容,命令相关内容,命令相关内容,命令相关内容,命令相关内容,命令相关内容,命令相关内容
3,命令相关内容,命令相关内容,命令相关内容,命令相关内容,命令相关内容,命令相关内容,命令相关内容,命令相关内容

