指令,指令功能
LD.B,取字节
LD.BU,取字节，无符号扩展
LD.H,取半字
LD.HU,取半字，无符号扩展
LD.W,取字
LD.WU,取字，无符号扩展
LD.D,取双字
ST.B,存字节
ST.H,存半字
ST.W,存字
ST.D,存双字
