指令,指令功能
JIRL,相对寄存器偏移跳转并链接
B,无条件相对转移
BL,无条件相对转移并链接
BEQ,等于时相对转移
BNE,不等时相对转移
BLT,有符号比较小于时相对转移
BGE,有符号比较大于等于时相对转移
BLTU,无符号比较小于时相对转移
BGEU,无符号比较大于等于时相对转移
BEQZ,等于0相对转移
BNEZ,不等于0时相对转移
